Notes	State	State Code	Year	Year Code	Month	Month Code	Deaths
	Idaho	16	2019	2019	"Jul., 2019"	Jul-19	26
	Idaho	16	2019	2019	"Aug., 2019"	Aug-19	16
	Idaho	16	2019	2019	"Sep., 2019"	Sep-19	17
	Idaho	16	2019	2019	"Oct., 2019"	Oct-19	24
	Idaho	16	2019	2019	"Nov., 2019"	Nov-19	18
	Idaho	16	2019	2019	"Dec., 2019"	Dec-19	31
	Illinois	17	1999	1999	"Jan., 1999"	Jan-99	100
	Illinois	17	1999	1999	"Feb., 1999"	Feb-99	120
	Illinois	17	1999	1999	"Mar., 1999"	Mar-99	129
	Illinois	17	1999	1999	"Apr., 1999"	Apr-99	88
	Illinois	17	1999	1999	"May, 1999"	May-99	86
	Illinois	17	1999	1999	"Jun., 1999"	Jun-99	84
	Illinois	17	1999	1999	"Jul., 1999"	Jul-99	75
	Illinois	17	1999	1999	"Aug., 1999"	Aug-99	68
	Illinois	17	1999	1999	"Sep., 1999"	Sep-99	64
	Illinois	17	1999	1999	"Oct., 1999"	Oct-99	90
	Illinois	17	1999	1999	"Nov., 1999"	Nov-99	86
	Illinois	17	1999	1999	"Dec., 1999"	Dec-99	107
	Illinois	17	2000	2000	"Jan., 2000"	Jan-00	92
	Illinois	17	2000	2000	"Feb., 2000"	Feb-00	77
	Illinois	17	2000	2000	"Mar., 2000"	Mar-00	93
	Illinois	17	2000	2000	"Apr., 2000"	Apr-00	88
	Illinois	17	2000	2000	"May, 2000"	May-00	83
	Illinois	17	2000	2000	"Jun., 2000"	Jun-00	75
	Illinois	17	2000	2000	"Jul., 2000"	Jul-00	88
	Illinois	17	2000	2000	"Aug., 2000"	Aug-00	86
	Illinois	17	2000	2000	"Sep., 2000"	Sep-00	77
	Illinois	17	2000	2000	"Oct., 2000"	Oct-00	77
	Illinois	17	2000	2000	"Nov., 2000"	Nov-00	103
	Illinois	17	2000	2000	"Dec., 2000"	Dec-00	87
	Illinois	17	2001	2001	"Jan., 2001"	Jan-01	107
	Illinois	17	2001	2001	"Feb., 2001"	Feb-01	79
	Illinois	17	2001	2001	"Mar., 2001"	Mar-01	102
	Illinois	17	2001	2001	"Apr., 2001"	Apr-01	82
	Illinois	17	2001	2001	"May, 2001"	May-01	100
	Illinois	17	2001	2001	"Jun., 2001"	Jun-01	84
	Illinois	17	2001	2001	"Jul., 2001"	Jul-01	85
	Illinois	17	2001	2001	"Aug., 2001"	Aug-01	73
	Illinois	17	2001	2001	"Sep., 2001"	Sep-01	84
	Illinois	17	2001	2001	"Oct., 2001"	Oct-01	89
	Illinois	17	2001	2001	"Nov., 2001"	Nov-01	89
	Illinois	17	2001	2001	"Dec., 2001"	Dec-01	86
	Illinois	17	2002	2002	"Jan., 2002"	Jan-02	92
	Illinois	17	2002	2002	"Feb., 2002"	Feb-02	93
	Illinois	17	2002	2002	"Mar., 2002"	Mar-02	104
	Illinois	17	2002	2002	"Apr., 2002"	Apr-02	76
	Illinois	17	2002	2002	"May, 2002"	May-02	93
	Illinois	17	2002	2002	"Jun., 2002"	Jun-02	69
	Illinois	17	2002	2002	"Jul., 2002"	Jul-02	81
	Illinois	17	2002	2002	"Aug., 2002"	Aug-02	92
	Illinois	17	2002	2002	"Sep., 2002"	Sep-02	90
	Illinois	17	2002	2002	"Oct., 2002"	Oct-02	94
	Illinois	17	2002	2002	"Nov., 2002"	Nov-02	71
	Illinois	17	2002	2002	"Dec., 2002"	Dec-02	92
	Illinois	17	2003	2003	"Jan., 2003"	Jan-03	92
	Illinois	17	2003	2003	"Feb., 2003"	Feb-03	83
	Illinois	17	2003	2003	"Mar., 2003"	Mar-03	100
	Illinois	17	2003	2003	"Apr., 2003"	Apr-03	88
	Illinois	17	2003	2003	"May, 2003"	May-03	59
	Illinois	17	2003	2003	"Jun., 2003"	Jun-03	72
	Illinois	17	2003	2003	"Jul., 2003"	Jul-03	100
	Illinois	17	2003	2003	"Aug., 2003"	Aug-03	82
	Illinois	17	2003	2003	"Sep., 2003"	Sep-03	84
	Illinois	17	2003	2003	"Oct., 2003"	Oct-03	79
	Illinois	17	2003	2003	"Nov., 2003"	Nov-03	81
	Illinois	17	2003	2003	"Dec., 2003"	Dec-03	102
	Illinois	17	2004	2004	"Jan., 2004"	Jan-04	102
	Illinois	17	2004	2004	"Feb., 2004"	Feb-04	90
	Illinois	17	2004	2004	"Mar., 2004"	Mar-04	98
	Illinois	17	2004	2004	"Apr., 2004"	Apr-04	95
	Illinois	17	2004	2004	"May, 2004"	May-04	90
	Illinois	17	2004	2004	"Jun., 2004"	Jun-04	91
	Illinois	17	2004	2004	"Jul., 2004"	Jul-04	104
	Illinois	17	2004	2004	"Aug., 2004"	Aug-04	76
	Illinois	17	2004	2004	"Sep., 2004"	Sep-04	94
